Student_ID,Student_Seq,Gender,College,Course,Semester,Year,Year_Numeric,Sem_Numeric,GWA,Avg_Grade,Std_Grade,Sub_Count,Min_Grade,Max_Grade,is_inc,is_drop,fail_count,fail_rate,inc_rate,drop_rate,is_irregular
101_CAHS_Bachelor_of_Science_in_Midwifery_1sem_2022-2023,101,1,CAHS,Bachelor of Science in Midwifery,1sem,2022-2023,2022.0,1,1.67,1.6666666666666667,0.4677071733467426,9,1.0,2.5,0,0,0,0.0,0,0,0
101_CAHS_Bachelor_of_Science_in_Nursing_1sem_2022-2023,101,1,CAHS,Bachelor of Science in Nursing,1sem,2022-2023,2022.0,1,2.25,2.25,0.6614378277661477,3,1.75,3.0,0,0,1,0.3333333333333333,0,0,0
101_CBA_Bachelor_of_Science_in_Hospitality_Management_1sem_2022-2023,101,0,CBA,Bachelor of Science in Hospitality Management,1sem,2022-2023,2022.0,1,1.72,1.71875,0.4712729721570231,8,1.0,2.25,0,0,0,0.0,0,0,0
101_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,101,1,CBA,Bachelor of Science in Tourism Management,1sem,2022-2023,2022.0,1,1.47,1.46875,0.5077524002897476,8,1.0,2.5,0,0,0,0.0,0,0,0
101_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,101,0,CCST,Bachelor of Science in Computer Science,1sem,2022-2023,2022.0,1,1.34,1.34375,0.229031345328226,8,1.0,1.75,0,0,0,0.0,0,0,0
101_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,101,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,2022-2023,2022.0,1,2.02,2.022727272727273,0.6562635279990944,11,1.25,3.0,0,0,2,0.1818181818181818,0,0,0
101_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,101,1,CCST,Bachelor of Science in Information Technology,1sem,2022-2023,2022.0,1,1.25,1.25,0.2886751345948128,10,1.0,1.75,0,0,0,0.0,0,0,0
101_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,101,1,CEA,Bachelor of Science in Architecture,1sem,2022-2023,2022.0,1,1.45,1.4545454545454546,0.2696799449852968,11,1.0,1.75,0,0,0,0.0,0,0,0
101_CEA_Bachelor_of_Science_in_Civil_Engineering_1sem_2022-2023,101,1,CEA,Bachelor of Science in Civil Engineering,1sem,2022-2023,2022.0,1,2.75,2.75,1.5942605391424158,7,1.25,5.0,1,0,2,0.2857142857142857,1,0,1
101_CEA_Bachelor_of_Science_in_Electrical_Engineering_1sem_2022-2023,101,0,CEA,Bachelor of Science in Electrical Engineering,1sem,2022-2023,2022.0,1,2.22,2.21875,0.6739740880987721,8,1.5,3.0,0,0,3,0.375,0,0,0
101_CEA_Bachelor_of_Science_in_Electronics_Engineering_1sem_2022-2023,101,1,CEA,Bachelor of Science in Electronics Engineering,1sem,2022-2023,2022.0,1,2.25,2.25,1.0,11,1.25,5.0,1,0,1,0.0909090909090909,1,0,1
101_CEA_Bachelor_of_Science_in_Industrial_Engineering_1sem_2022-2023,101,1,CEA,Bachelor of Science in Industrial Engineering,1sem,2022-2023,2022.0,1,1.72,1.7222222222222223,0.565194165260439,9,1.0,2.75,0,0,0,0.0,0,0,0
101_CEA_Bachelor_of_Science_in_Mechanical_Engineering_1sem_2022-2023,101,0,CEA,Bachelor of Science in Mechanical Engineering,1sem,2022-2023,2022.0,1,2.17,2.1666666666666665,0.4377975178854565,6,1.5,2.75,0,0,0,0.0,0,0,0
101_COAS_Bachelor_of_Arts_in_Communication_1sem_2022-2023,101,0,COAS,Bachelor of Arts in Communication,1sem,2022-2023,2022.0,1,1.56,1.5555555555555556,0.27322660517925,9,1.25,2.0,0,0,0,0.0,0,0,0
101_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,101,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.17,2.175,0.5779513628133234,10,1.25,3.0,0,0,1,0.1,0,0,0
101_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_1sem_2022-2023,101,1,CTEC,Bachelor of Technical-Vocational Teacher Education,1sem,2022-2023,2022.0,1,1.75,1.75,0.3333333333333333,10,1.25,2.25,0,0,0,0.0,0,0,0
1020_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1020,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.25,2.25,0.2886751345948128,7,2.0,2.75,0,0,0,0.0,0,0,0
1021_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1021,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.25,1.25,,1,1.25,1.25,0,0,0,0.0,0,0,0
1022_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1022,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.5,2.5,0.3535533905932738,2,2.25,2.75,0,0,0,0.0,0,0,0
1023_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1023,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,3.83,3.8333333333333335,1.834847859269718,7,0.0,5.0,1,1,4,0.5714285714285714,1,1,1
1024_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1024,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.38,2.375,0.5303300858899106,2,2.0,2.75,0,0,0,0.0,0,0,0
1025_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1025,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.33,2.325,0.9933808713457069,10,1.5,5.0,1,0,1,0.1,1,0,1
1026_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1026,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.25,1.25,,1,1.25,1.25,0,0,0,0.0,0,0,0
1027_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1027,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.0,2.0,,1,2.0,2.0,0,0,0,0.0,0,0,0
1028_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1028,1,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.88,1.875,0.4602233757161358,10,1.25,2.75,0,0,0,0.0,0,0,0
1029_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1029,1,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.9,1.9,0.3162277660168379,10,1.25,2.25,0,0,0,0.0,0,0,0
102_CAHS_Bachelor_of_Science_in_Midwifery_1sem_2022-2023,102,1,CAHS,Bachelor of Science in Midwifery,1sem,2022-2023,2022.0,1,1.72,1.7222222222222223,0.3410563654946854,9,1.25,2.5,0,0,0,0.0,0,0,0
102_CAHS_Bachelor_of_Science_in_Nursing_1sem_2022-2023,102,1,CAHS,Bachelor of Science in Nursing,1sem,2022-2023,2022.0,1,1.9,1.9,0.4594682917363407,10,1.25,2.5,0,0,0,0.0,0,0,0
102_CBA_Bachelor_of_Science_in_Hospitality_Management_1sem_2022-2023,102,0,CBA,Bachelor of Science in Hospitality Management,1sem,2022-2023,2022.0,1,1.75,1.75,0.4629100498862757,8,1.0,2.25,0,0,0,0.0,0,0,0
102_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,102,1,CBA,Bachelor of Science in Tourism Management,1sem,2022-2023,2022.0,1,1.82,1.821428571428572,0.4008918628686365,7,1.5,2.5,0,0,0,0.0,0,0,0
102_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,102,0,CCST,Bachelor of Science in Computer Science,1sem,2022-2023,2022.0,1,1.82,1.821428571428572,0.4008918628686366,7,1.25,2.5,0,0,0,0.0,0,0,0
102_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,102,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,2022-2023,2022.0,1,1.64,1.6388888888888888,0.2534484387624258,9,1.5,2.25,0,0,0,0.0,0,0,0
102_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,102,0,CCST,Bachelor of Science in Information Technology,1sem,2022-2023,2022.0,1,1.72,1.725,0.3809709816887486,10,1.0,2.25,0,0,0,0.0,0,0,0
102_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,102,1,CEA,Bachelor of Science in Architecture,1sem,2022-2023,2022.0,1,1.85,1.85,0.5916079783099616,10,1.0,2.75,0,0,0,0.0,0,0,0
102_CEA_Bachelor_of_Science_in_Civil_Engineering_1sem_2022-2023,102,0,CEA,Bachelor of Science in Civil Engineering,1sem,2022-2023,2022.0,1,2.79,2.7857142857142856,1.597058307669209,7,1.5,5.0,1,0,3,0.4285714285714285,1,0,1
102_CEA_Bachelor_of_Science_in_Electrical_Engineering_1sem_2022-2023,102,1,CEA,Bachelor of Science in Electrical Engineering,1sem,2022-2023,2022.0,1,1.86,1.8611111111111112,0.5017331074496789,9,1.25,3.0,0,0,1,0.1111111111111111,0,0,0
102_CEA_Bachelor_of_Science_in_Electronics_Engineering_1sem_2022-2023,102,1,CEA,Bachelor of Science in Electronics Engineering,1sem,2022-2023,2022.0,1,1.47,1.4722222222222223,0.2916666666666667,9,1.0,2.0,0,0,0,0.0,0,0,0
102_CEA_Bachelor_of_Science_in_Industrial_Engineering_1sem_2022-2023,102,0,CEA,Bachelor of Science in Industrial Engineering,1sem,2022-2023,2022.0,1,2.1,2.1,0.6754628043053148,5,1.25,3.0,0,0,1,0.2,0,0,0
102_CEA_Bachelor_of_Science_in_Mechanical_Engineering_1sem_2022-2023,102,1,CEA,Bachelor of Science in Mechanical Engineering,1sem,2022-2023,2022.0,1,1.28,1.2777777777777777,0.1954339899926429,9,1.0,1.5,0,0,0,0.0,0,0,0
102_COAS_Bachelor_of_Arts_in_Communication_1sem_2022-2023,102,0,COAS,Bachelor of Arts in Communication,1sem,2022-2023,2022.0,1,1.64,1.6388888888888888,0.485912657903775,9,1.0,2.25,0,0,0,0.0,0,0,0
102_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,102,1,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.75,1.75,0.2314550249431378,8,1.5,2.25,0,0,0,0.0,0,0,0
102_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_1sem_2022-2023,102,0,CTEC,Bachelor of Technical-Vocational Teacher Education,1sem,2022-2023,2022.0,1,1.68,1.675,0.5006939628599933,10,1.0,2.5,0,0,0,0.0,0,0,0
1030_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1030,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.25,1.25,,1,1.25,1.25,0,0,0,0.0,0,0,0
1031_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1031,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.06,2.0625,0.4771567577102638,8,1.5,2.75,0,0,0,0.0,0,0,0
1032_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1032,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.28,2.28125,0.4712729721570231,8,1.75,3.0,0,0,1,0.125,0,0,0
1033_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1033,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.5,1.5,0.2886751345948128,4,1.25,1.75,0,0,0,0.0,0,0,0
1034_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1034,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,2.22,2.225,0.415832498329155,10,1.5,2.75,0,0,0,0.0,0,0,0
1035_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,1035,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.72,1.725,0.415832498329155,10,1.25,2.5,0,0,0,0.0,0,0,0
103_CAHS_Bachelor_of_Science_in_Midwifery_1sem_2022-2023,103,1,CAHS,Bachelor of Science in Midwifery,1sem,2022-2023,2022.0,1,2.62,2.625,0.980716857994985,10,1.25,5.0,1,0,3,0.3,1,0,1
103_CAHS_Bachelor_of_Science_in_Nursing_1sem_2022-2023,103,0,CAHS,Bachelor of Science in Nursing,1sem,2022-2023,2022.0,1,1.8,1.8,0.6851601597031489,10,1.0,2.75,0,0,0,0.0,0,0,0
103_CBA_Bachelor_of_Science_in_Hospitality_Management_1sem_2022-2023,103,0,CBA,Bachelor of Science in Hospitality Management,1sem,2022-2023,2022.0,1,1.3,1.3,0.273861278752583,5,1.0,1.75,0,0,0,0.0,0,0,0
103_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,103,1,CBA,Bachelor of Science in Tourism Management,1sem,2022-2023,2022.0,1,1.71,1.7083333333333333,0.1881931631772702,6,1.5,2.0,0,0,0,0.0,0,0,0
103_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,103,1,CCST,Bachelor of Science in Computer Science,1sem,2022-2023,2022.0,1,2.0,2.0,0.5590169943749475,7,1.5,3.0,0,0,1,0.1428571428571428,0,0,0
103_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,103,0,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,2022-2023,2022.0,1,1.81,1.8125,0.2216013151069795,8,1.5,2.0,0,0,0,0.0,0,0,0
103_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,103,0,CCST,Bachelor of Science in Information Technology,1sem,2022-2023,2022.0,1,1.79,1.7857142857142858,0.4190408549237629,7,1.5,2.5,0,0,0,0.0,0,0,0
103_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,103,0,CEA,Bachelor of Science in Architecture,1sem,2022-2023,2022.0,1,1.86,1.8571428571428568,0.4295623464921123,7,1.5,2.75,0,0,0,0.0,0,0,0
103_CEA_Bachelor_of_Science_in_Civil_Engineering_1sem_2022-2023,103,1,CEA,Bachelor of Science in Civil Engineering,1sem,2022-2023,2022.0,1,1.79,1.7857142857142858,0.6025738445163697,7,1.25,3.0,0,0,1,0.1428571428571428,0,0,0
103_CEA_Bachelor_of_Science_in_Electrical_Engineering_1sem_2022-2023,103,0,CEA,Bachelor of Science in Electrical Engineering,1sem,2022-2023,2022.0,1,1.75,1.75,0.6614378277661477,7,1.25,3.0,0,0,1,0.1428571428571428,0,0,0
103_CEA_Bachelor_of_Science_in_Electronics_Engineering_1sem_2022-2023,103,1,CEA,Bachelor of Science in Electronics Engineering,1sem,2022-2023,2022.0,1,2.08,2.083333333333333,0.8779711460710615,3,1.25,3.0,0,0,1,0.3333333333333333,0,0,0
103_CEA_Bachelor_of_Science_in_Industrial_Engineering_1sem_2022-2023,103,0,CEA,Bachelor of Science in Industrial Engineering,1sem,2022-2023,2022.0,1,1.56,1.5555555555555556,0.6095307849303246,9,1.0,3.0,0,0,1,0.1111111111111111,0,0,0
103_CEA_Bachelor_of_Science_in_Mechanical_Engineering_1sem_2022-2023,103,0,CEA,Bachelor of Science in Mechanical Engineering,1sem,2022-2023,2022.0,1,3.08,3.075,1.3896942109687296,10,1.75,5.0,1,0,4,0.4,1,0,1
103_COAS_Bachelor_of_Arts_in_Communication_1sem_2022-2023,103,1,COAS,Bachelor of Arts in Communication,1sem,2022-2023,2022.0,1,1.58,1.5833333333333333,0.57282196186948,9,1.0,2.75,0,0,0,0.0,0,0,0
103_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,103,0,CTEC,Bachelor of Science in Industrial Technology,1sem,2022-2023,2022.0,1,1.82,1.825,0.264837476367845,10,1.5,2.25,0,0,0,0.0,0,0,0
103_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_1sem_2022-2023,103,1,CTEC,Bachelor of Technical-Vocational Teacher Education,1sem,2022-2023,2022.0,1,1.6,1.6,0.3162277660168379,10,1.0,2.0,0,0,0,0.0,0,0,0
104_CAHS_Bachelor_of_Science_in_Midwifery_1sem_2022-2023,104,1,CAHS,Bachelor of Science in Midwifery,1sem,2022-2023,2022.0,1,2.28,2.275,0.5458174297937605,10,1.25,3.0,0,0,1,0.1,0,0,0
104_CAHS_Bachelor_of_Science_in_Nursing_1sem_2022-2023,104,1,CAHS,Bachelor of Science in Nursing,1sem,2022-2023,2022.0,1,2.0,2.0,0.3535533905932738,2,1.75,2.25,0,0,0,0.0,0,0,0
104_CBA_Bachelor_of_Science_in_Hospitality_Management_1sem_2022-2023,104,0,CBA,Bachelor of Science in Hospitality Management,1sem,2022-2023,2022.0,1,2.56,2.5625,1.1553447228301297,8,1.0,5.0,1,0,2,0.25,1,0,1
104_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,104,1,CBA,Bachelor of Science in Tourism Management,1sem,2022-2023,2022.0,1,1.71,1.7083333333333333,0.292261298612503,6,1.25,2.0,0,0,0,0.0,0,0,0
104_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,104,1,CCST,Bachelor of Science in Computer Science,1sem,2022-2023,2022.0,1,1.68,1.6785714285714286,0.2781743201320934,7,1.25,2.0,0,0,0,0.0,0,0,0
104_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,104,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,2022-2023,2022.0,1,1.5,1.5,0.3354101966249684,11,1.0,2.25,0,0,0,0.0,0,0,0
104_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,104,1,CCST,Bachelor of Science in Information Technology,1sem,2022-2023,2022.0,1,2.0,2.0,0.5400617248673217,4,1.25,2.5,0,0,0,0.0,0,0,0
104_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,104,0,CEA,Bachelor of Science in Architecture,1sem,2022-2023,2022.0,1,2.57,2.571428571428572,1.096531327587567,7,1.75,5.0,1,0,1,0.1428571428571428,1,0,1
104_CEA_Bachelor_of_Science_in_Civil_Engineering_1sem_2022-2023,104,1,CEA,Bachelor of Science in Civil Engineering,1sem,2022-2023,2022.0,1,1.54,1.5416666666666667,0.5103103630798288,6,1.25,2.5,0,0,0,0.0,0,0,0
104_CEA_Bachelor_of_Science_in_Electrical_Engineering_1sem_2022-2023,104,0,CEA,Bachelor of Science in Electrical Engineering,1sem,2022-2023,2022.0,1,2.03,2.0277777777777777,0.5220818369225695,9,1.25,3.0,0,0,1,0.1111111111111111,0,0,0
